state,total_electors
Andaman & Nicobar Islands,4309760.0
Andhra Pradesh,1028145613.0
Arunachal Pradesh,5270576.0
Assam,244104644.0
Bihar,1035357611.0
Chandigarh,11073852.0
Dadra & Nagar Haveli,2359164.0
Daman & Diu,559135.0
Goa,11212896.0
Gujarat,564710813.0
Haryana,384048106.0
Himachal Pradesh,50817486.0
Jammu & Kashmir,112439488.0
Jharkhand,382973302.0
Karnataka,768395021.0
Kerala,352239000.0
Lakshadweep,349454.0
Madhya Pradesh,687168390.0
Maharashtra,1605928601.0
Manipur,17807339.0
Meghalaya,10586163.0
Mizoram,2808680.0
NCT OF Delhi,277906739.0
Nagaland,4731888.0
Puducherry,27942067.0
Punjab,401855600.0
Rajasthan,594266185.0
Sikkim,2595390.0
Tamil Nadu,1263292517.0
Tripura,32303232.0
Uttar Pradesh,2381377634.0
Uttarakhand,116314047.0
West Bengal,766620622.0
